epoch,train_losses,train_accs,val_losses,val_accs
1,3.1679998376634386,27.41,3.26035454750061,25.75
2,1.9738353378295899,51.22,2.1730455362319945,46.98
3,1.674917359881931,58.46,1.9577188674926758,52.92
4,1.4089727812449138,64.42,1.7265714954376221,57.27
5,1.2207127983940973,68.77,1.5884849685668945,60.73
6,1.1437976204342313,70.96,1.585957533454895,61.63
7,1.074418627357483,73.08,1.5530728278160095,62.61
8,0.9972448364893596,74.68,1.511865475654602,63.55
9,0.9398056651857164,76.12,1.496405152320862,64.46
10,0.864771672905816,77.66,1.4476736607551575,65.2
11,0.8075432365523444,78.83,1.4239386658668518,65.77
12,0.7555417392200894,80.53,1.4552860429763794,65.91
13,0.70856988424725,81.59,1.4201775903701783,66.6
14,0.6768779016865625,82.31,1.41649665184021,66.5
15,0.6174865226321751,83.67,1.3967907751083375,66.8
16,0.585922543727027,84.4,1.3820515718460082,67.78
17,0.5455482349448734,85.63,1.3919109970092773,67.59
18,0.5478335521247651,85.49,1.4270689710617066,67.26
19,0.4687577330350876,87.82,1.39289780960083,68.37
20,0.4448156598011653,88.6,1.4176620330810548,68.01
21,0.46066718343893687,87.93,1.4289085033416749,67.6
22,0.396311134730445,89.81,1.409837696647644,68.05
23,0.37669632233646183,90.35,1.415580259513855,67.84
24,0.35402251998451023,91.0,1.4120653005599975,68.46
25,0.3329956069999271,91.65,1.4220805585861207,68.5
26,0.3494997578528192,91.21,1.4443107135772706,68.35
27,0.31924851063357457,92.03,1.427428923225403,68.57
28,0.2910296657456292,92.86,1.4313359554290772,68.65
29,0.28735152811143133,92.97,1.4496668870925904,68.48
30,0.3070838104479843,92.52,1.4631040174484253,68.15
31,0.29086386039124595,92.99,1.4582887482643128,68.62
32,0.3140723805281851,92.24,1.4846406147003173,68.14
33,0.26735267968906296,93.78,1.4813262837409973,68.52
34,0.2560506989883052,93.95,1.4539527597427369,68.53
35,0.244340638057722,94.31,1.4680268932342528,68.23
36,0.23081068628893958,94.72,1.4753503688812255,68.64
37,0.22241548657019933,95.01,1.4938531831741333,68.2
38,0.2248791875799497,94.97,1.5031404216766358,68.41
39,0.21329564562771056,95.26,1.488961698436737,68.36
40,0.1936356230063571,95.76,1.4858039344787597,68.62
41,0.18568143013914426,96.02,1.492839708518982,68.41
42,0.19013787345488867,95.98,1.5114571148872376,68.32
43,0.18731222798327604,96.04,1.5004605545043945,68.29
44,0.17761530958695543,96.32,1.5148826021194457,68.48
45,0.18027086289972066,96.33,1.5315294303894043,68.76
46,0.17407369486962757,96.51,1.5456551305770874,68.54
47,0.1716141554368039,96.56,1.5425888628005981,68.51
48,0.17033761245893936,96.61,1.5568201616287232,68.55
49,0.1687800925400936,96.64,1.5561322143554688,68.43
50,0.1670981940649243,96.67,1.554585796356201,68.75
