epoch,train_losses,train_accs,val_losses,val_accs
1,3.164311596806844,28.53,3.256248175048828,26.89
2,1.9890207204182944,50.77,2.180286206626892,46.41
3,1.6708049360063342,58.4,1.9471631845474242,52.15
4,1.4198000225067138,64.12,1.7319936658859252,57.19
5,1.2234962303373549,68.72,1.574382335472107,61.11
6,1.154558441649543,70.8,1.5749346994400024,61.7
7,1.0772477103339302,72.84,1.5427404090881347,63.07
8,1.0098411261558533,74.33,1.5073588073730468,63.55
9,0.9474748770501878,75.97,1.476213998222351,64.37
10,0.864929678079817,77.75,1.430139598083496,65.57
11,0.8117960478888617,78.83,1.4077358345985413,65.58
12,0.767471069293552,80.19,1.4398048635482787,65.77
13,0.725088461250729,81.15,1.4184222041130066,66.6
14,0.6830374312771691,82.13,1.3905218858718873,66.96
15,0.6380099679840936,83.16,1.3772374019622802,67.58
16,0.5998725592242347,84.1,1.3662220683097839,67.81
17,0.5688790552775065,85.0,1.3857499423980713,67.52
18,0.5443185518450208,85.57,1.3830392409324646,67.96
19,0.4897380236956808,87.13,1.3855603655815125,68.49
20,0.46381495856907634,88.04,1.3997165937423706,68.25
21,0.46657571515639623,87.83,1.4039278190612794,68.24
22,0.41790288508468204,89.12,1.3847156626701356,68.7
23,0.3970146751695209,89.67,1.3932822465896606,68.65
24,0.3789311937345399,90.28,1.4104248846054077,68.81
25,0.36042957705656686,90.85,1.4181528143882751,68.74
26,0.3609004674156507,90.9,1.4252539258003234,68.24
27,0.34261793992320694,91.43,1.410674959754944,68.83
28,0.31421517455908987,92.19,1.4194785715103149,69.04
29,0.3084522124512328,92.35,1.4343426352500916,69.05
30,0.32655876856181354,92.01,1.438433558368683,68.55
31,0.30764423202408686,92.52,1.436481166744232,69.15
32,0.3213740750749906,92.05,1.4452312917709351,68.62
33,0.28146288359893695,93.33,1.4477679537773132,68.96
34,0.2681870539089044,93.62,1.4336856240272522,69.13
35,0.2638006856789192,93.72,1.4330902792930602,69.07
36,0.25138346713218424,94.09,1.4480596578598022,68.78
37,0.23774079217927324,94.55,1.4549732542037963,69.17
38,0.23548411093917157,94.59,1.4819399963378905,68.51
39,0.2240190536270539,94.81,1.4616690911293029,68.79
40,0.2051865466605458,95.41,1.4581923274040223,68.96
41,0.19426993697020742,95.77,1.4646656352043153,69.44
42,0.1964738234822949,95.76,1.468730418586731,69.23
43,0.1990198141609629,95.71,1.468798607158661,68.98
44,0.18590436014831066,96.08,1.482843889808655,69.28
45,0.18838227637840643,96.09,1.4975817414283752,68.92
46,0.17774759413968358,96.4,1.4999704627990722,69.09
47,0.17404781561920213,96.51,1.4970985033988953,69.33
48,0.17321197513888278,96.5,1.5075794706344605,69.24
49,0.17130109947149952,96.56,1.5110456357955933,69.1
50,0.16880575295173458,96.62,1.509911833190918,69.17
