epoch,train_losses,train_accs,val_losses,val_accs
1,2.9261046949174667,32.13,3.01878511390686,30.08
2,1.8814604878319634,53.15,2.0854075799942016,49.15
3,1.5121707975175647,61.91,1.7973358226776124,56.06
4,1.2856097387525771,67.12,1.6307581466674805,59.71
5,1.124410152053833,71.0,1.5073284267425537,62.69
6,1.0324862940046522,73.32,1.4756472591400147,64.37
7,0.9586627950880262,75.29,1.4483198472976684,65.06
8,0.9137097944683499,76.73,1.4488417043685913,65.44
9,0.8448306114726596,78.2,1.4177306921005248,65.91
10,0.7730235442055596,80.07,1.3942632860183717,66.79
11,0.7557397194438511,80.83,1.4195500282287599,67.34
12,0.7039372107823689,81.97,1.4000057777404784,67.23
13,0.673725485112932,82.88,1.3878961153030396,67.67
14,0.631136925623152,83.73,1.3794930923461914,67.96
15,0.5733611507733662,85.1,1.3543614295959472,68.85
16,0.5667856047948201,85.26,1.3754148111343383,68.64
17,0.5164242093616062,86.31,1.3550974487304688,68.78
18,0.4714093312634362,87.19,1.3334538654327392,69.1
19,0.43295850709279377,88.1,1.3361564903259278,69.17
20,0.38999149146609835,89.27,1.3268292985916137,69.68
21,0.3437846790101793,90.6,1.327815467453003,69.78
22,0.33033113589021895,91.1,1.3502420280456544,70.09
23,0.3187724646263652,91.3,1.3466655206680298,69.7
24,0.31890620923307206,91.2,1.3394462604522706,69.66
25,0.2999375201728609,91.63,1.339254628944397,69.96
26,0.28188898126416734,92.12,1.3436242012023927,70.38
27,0.2516568210469352,92.83,1.3635483268737794,70.28
28,0.22206032801601622,93.65,1.3550197542190552,70.12
29,0.1838465016166369,94.89,1.3523526950836182,70.32
30,0.17321606806715328,95.18,1.3673069868087768,70.12
31,0.15494809943768714,95.76,1.3713951595306397,70.21
32,0.16100654051635,95.53,1.3745308214187621,70.09
33,0.13929986223512225,96.23,1.3652345239639283,70.19
34,0.1444548672530386,95.89,1.3798820802688598,70.25
35,0.11421775170895788,96.86,1.3783895792007446,70.24
36,0.09104210752348105,97.54,1.3852553842544555,70.47
37,0.08609565813640753,97.67,1.3909092336654663,70.23
38,0.06582293608254856,98.28,1.3915621688842774,70.38
39,0.06077175898618168,98.4,1.3949005729675292,70.44
40,0.07482604168289238,97.97,1.420328554534912,69.92
41,0.05268113069766098,98.71,1.422454669189453,70.5
42,0.060228293729821844,98.47,1.4427695749282836,70.08
43,0.04125163610494799,99.04,1.4368938232421875,70.62
44,0.03651971989489264,99.15,1.447031558418274,70.61
45,0.030995805535713832,99.33,1.4356401834487915,70.59
46,0.02765912770604094,99.38,1.4330797025680542,70.65
47,0.02495103597260184,99.44,1.432456799507141,70.81
48,0.023776218647344246,99.48,1.437698484802246,70.51
49,0.019931086758400003,99.59,1.4429596504211426,70.72
50,0.0189196520075202,99.62,1.445934865951538,70.75
